site_code,position,start_time,end_time,data_collection,number_of_records,remarks,serial_number,file_location
TER-NFBF-TP41,1,16/08/2024 10:30,17/09/2024 12:30,17/09/2024,771,NA,65069025,data/data_sensors/TP41/TP41-1-2024_09_17.txt
TER-NFBF-TP41,2,16/08/2024 10:30,17/09/2024 12:30,17/09/2024,771,NA,65069112,data/data_sensors/TP41/TP41-2-2024_09_17.txt
TER-NFBF-TP41,1,17/09/2024 12:45,11/11/2024 04:45,15/12/2024,1313,NA,65069025,data/data_sensors/TP41/TP41-1-2024_12_15.txt
TER-NFBF-TP41,2,17/09/2024 12:45,15/12/2024 10:45,15/12/2024,2135,NA,65069112,data/data_sensors/TP41/TP41-2-2024_12_15.txt
TER-NFBF-TP41,2,15/12/2024 10:15,13/06/2025 08:15,13/06/2025,4319,NA,65069112,data/data_sensors/TP41/TP41-2-2025_06_13.txt
TER-NFPG-T-33,0,12/03/2024 12:00,14/06/2024 16:00,14/06/2024,2261,NA,65067556,data/data_sensors/T33/T33-0-2024_06_14.txt
TER-NFPG-T-33,1,12/03/2024 12:00,14/06/2024 16:00,14/06/2024,2261,Data logger on the ground,65067386,data/data_sensors/T33/T33-1-2024_06_14.txt
TER-NFPG-T-33,2,12/03/2024 12:00,14/06/2024 16:00,14/06/2024,2261,Data logger on the ground,65068533,data/data_sensors/T33/T33-2-2024_06_14.txt
TER-NFPG-T-33,0,11/12/2023 10:16,12/03/2024 11:16,12/03/2024,2210,NA,65067556,data/data_sensors/T33/T33-0-2024_03_12.txt
TER-NFPG-T-33,1,11/12/2023 10:19,12/03/2024 11:19,12/03/2024,2210,NA,65067386,data/data_sensors/T33/T33-1-2024_03_12.txt
TER-NFPG-T-33,2,11/12/2023 10:22,12/03/2024 11:22,12/03/2024,2210,NA,65068533,data/data_sensors/T33/T33-2-2024_03_12.txt
TER-NFPG-T-33,0,08/08/2023 13:30,30/09/2023 08:30,11/12/2023,1268,Data logger replacement,10221063,data/data_sensors/T33/T33-0-2023_12_11.txt
TER-NFPG-T-33,2,08/08/2023 13:30,09/08/2023 09:30,11/12/2023,21,Data logger replacement,10220716,data/data_sensors/T33/T33-2-2023_12_11.txt
TER-NFPG-T-33,0,14/06/2024 17:30,23/08/2024 17:30,23/08/2024,1681,NA,65067556,data/data_sensors/T33/T33-0-2024_08_23.txt
TER-NFPG-T-33,1,14/06/2024 17:30,23/08/2024 17:30,23/08/2024,1681,NA,65067386,data/data_sensors/T33/T33-1-2024_08_23.txt
TER-NFPG-T-33,2,14/06/2024 17:30,23/08/2024 17:30,23/08/2024,1681,NA,65068533,data/data_sensors/T33/T33-2-2024_08_23.txt
TER-NFPG-T-33,1,23/08/2024 17:45,07/10/2024 19:45,15/12/2024,1083,NA,65067386,data/data_sensors/T33/T33-1-2024_12_15.txt
TER-NFPG-T-33,2,23/08/2024 17:45,15/12/2024 13:45,15/12/2024,2733,NA,65068533,data/data_sensors/T33/T33-2-2024_12_15.txt
TER-NFSB-T07,0,17/06/2024 15:00,16/08/2024 03:00,19/08/2024,1429,Data logger stopped,65067518,data/data_sensors/T07/T07-0-2024_08_19.txt
TER-NFSB-T07,1,17/06/2024 15:00,19/08/2024 14:00,19/08/2024,1512,NA,65067525,data/data_sensors/T07/T07-1-2024_08_19.txt
TER-NFSB-T07,2,17/06/2024 15:00,19/08/2024 14:00,19/08/2024,1512,NA,65067534,data/data_sensors/T07/T07-2-2024_08_19.txt
TER-NFSB-T07,0,16/03/2024 13:30,06/06/2024 17:30,17/06/2024,1973,NA,65067518,data/data_sensors/T07/T07-0-2024_06_17.txt
TER-NFSB-T07,1,16/03/2024 13:30,17/06/2024 13:30,17/06/2024,2233,NA,65067525,data/data_sensors/T07/T07-1-2024_06_17.txt
TER-NFSB-T07,2,16/03/2024 13:30,17/06/2024 13:30,17/06/2024,2233,NA,65067534,data/data_sensors/T07/T07-2-2024_06_17.txt
TER-NFSB-T07,0,11/12/2023 15:33,11/01/2024 16:33,16/03/2024,746,New set up,65067518,data/data_sensors/T07/T07-0-2024_03_16.txt
TER-NFSB-T07,1,11/12/2023 15:28,16/03/2024 12:28,16/03/2024,2302,New set up,65067525,data/data_sensors/T07/T07-1-2024_03_16.txt
TER-NFSB-T07,2,11/12/2023 15:19,16/03/2024 12:19,16/03/2024,2302,New set up,65067534,data/data_sensors/T07/T07-2-2024_03_16.txt
TER-NFSB-T07,1,19/08/2024 15:15,17/09/2024 15:15,17/09/2024,697,NA,65067525,data/data_sensors/T07/T07-1-2024_09_17.txt
TER-NFSB-T07,2,19/08/2024 15:15,17/09/2024 15:15,17/09/2024,697,NA,65067534,data/data_sensors/T07/T07-2-2024_09_17.txt
TER-NFSB-T07,1,2024-09-17 15:15:02,2024-12-18 19:15:02,2024-12-18,2213,NA,65067525,data/data_sensors/T07/T07-1-2024_12_18.txt
TER-NFSB-T07,2,2024-09-17 15:15:24,2024-11-19 02:15:24,2024-12-18,1500,NA,65067534,data/data_sensors/T07/T07-2-2024_12_18.txt
TER-NFSB-T164B,0,19/03/2024 16:10,20/06/2024 11:10,20/06/2024,2228,NA,65068608,data/data_sensors/T164B/T164B-0-2024_06_20.txt
TER-NFSB-T164B,1,19/03/2024 16:00,20/06/2024 11:00,20/06/2024,2228,NA,65067552,data/data_sensors/T164B/T164B-1-2024_06_20.txt
TER-NFSB-T164B,2,19/03/2024 16:00,20/06/2024 11:00,20/06/2024,2228,NA,65067454,data/data_sensors/T164B/T164B-2-2024_06_20.txt
