"effect" "component" "term" "estimate" "std.error" "statistic" "p.value" "conf.low" "conf.high" "response" "df" "p_adjusted_BH" "significant_BH"
"104" "fixed" "cond" "energy_tot:ENL0D" -0.104709770624965 0.0436813323338677 -2.39712859087358 0.016524123551048 -0.19032360879607 -0.0190959324538593 "CAN_DVPDR" NA 0.0566541378893073 FALSE
"105" "fixed" "cond" "energy_tot:SSCI" -0.0550015205204967 0.0379137342202273 -1.45070174836941 0.146862928417189 -0.129311074111566 0.0193080330705725 "CAN_DVPDR" NA 0.302118024172504 FALSE
"106" "fixed" "cond" "energy_tot:Elevation" 0.134422929990075 0.0369341661259542 3.63952795175235 0.000273138289073952 0.0620332945841857 0.206812565395965 "CAN_DVPDR" NA 0.00159453703891821 TRUE
"107" "fixed" "cond" "energy_tot:Slope_30" -0.034897666257801 0.0376877746248187 -0.925967813308343 0.354462707491237 -0.108764347179908 0.0389690146643062 "CAN_DVPDR" NA 0.562970182486082 FALSE
"108" "fixed" "cond" "energy_tot:foliage_height_diversity" -0.0107372785332397 0.0530428672795707 -0.202426435144375 0.839583363897155 -0.114699388037936 0.0932248309714569 "CAN_DVPDR" NA 0.915909124251441 FALSE
"109" "fixed" NA "(Intercept)" 14.3938242362301 0.229652022428087 62.6766709217088 0 13.9444170533965 14.8432314190637 "GRD_temperature_mean" 4965 0 TRUE
"110" "fixed" NA "energy_tot" -0.425534960479249 0.0231748223634873 -18.3619513368825 6.54831465954818e-73 -0.470885885417457 -0.380184035541042 "GRD_temperature_mean" 4965 7.44439982348635e-72 TRUE
"111" "fixed" NA "canopy_openess" 0.0874461554066996 0.237874059523462 0.367615348987116 0.720821181281905 -0.441614048810883 0.616506359624282 "GRD_temperature_mean" 10 0.837082662133826 FALSE
"112" "fixed" NA "northness" 0.216092232943302 0.304770529769853 0.709032573150966 0.49450236378192 -0.461753678639316 0.89393814452592 "GRD_temperature_mean" 10 0.685571218388308 FALSE
"113" "fixed" NA "eastness" -0.0684312521853522 0.256970109643208 -0.266300435799191 0.795418115088216 -0.639963343402053 0.503100839031349 "GRD_temperature_mean" 10 0.89320999107656 FALSE
"114" "fixed" NA "ENL0D" 0.0874107576593725 0.369296861782684 0.236695100081327 0.817671390672993 -0.733949391921748 0.908770907240493 "GRD_temperature_mean" 10 0.901107246864114 FALSE
"115" "fixed" NA "SSCI" 0.125705940719269 0.300351875298427 0.418528902456058 0.684407054361517 -0.54231235770661 0.793724239145149 "GRD_temperature_mean" 10 0.822296766050617 FALSE
"116" "fixed" NA "Elevation" -1.35864237640311 0.313883333029032 -4.3284948050346 0.00149307534634357 -2.0567562464296 -0.660528506376625 "GRD_temperature_mean" 10 0.00732964260932298 TRUE
"117" "fixed" NA "Slope_30" -0.33842972896114 0.346251534511404 -0.977410047983465 0.35141857115179 -1.10853432937969 0.431674871457413 "GRD_temperature_mean" 10 0.562269713842864 FALSE
"118" "fixed" NA "foliage_height_diversity" -0.122614024752836 0.431856004443206 -0.283923399214798 0.782260916868747 -1.08311314920981 0.83788509970414 "GRD_temperature_mean" 10 0.889307147598154 FALSE
"119" "fixed" NA "energy_tot:canopy_openess" 0.0302163565070917 0.0234485289205736 1.28862482629262 0.197588589701452 -0.015670186151538 0.0761028991657215 "GRD_temperature_mean" 4965 0.384496715094717 FALSE
