# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-01-02T00:00:00.0
# Date end (ISO 8601): 2025-09-03T00:00:00.0
# Latitude (positive North, ISO 19115): 38.7353
# Longitude (positive East, ISO 19115): -27.3077
# Altitude (m): 904.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-09-12
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-01-05T06:00:00.0/2023-01-05T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-05T07:00:00.0/2023-01-05T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-05T08:00:00.0/2023-01-05T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-05T09:00:00.0/2023-01-05T10:00:00.0;75.9478;40.4664;25.8867;14.5797;293.3649;40.4664;25.8867;14.5797;293.3649;0.7083
2023-01-05T10:00:00.0/2023-01-05T11:00:00.0;295.7165;201.6552;160.8742;40.7810;753.3295;201.5385;160.7011;40.8374;752.7053;1.0000
2023-01-05T11:00:00.0/2023-01-05T12:00:00.0;477.8063;355.1802;303.9108;51.2693;893.1373;350.3746;296.1942;54.1804;870.1959;1.0000
2023-01-05T12:00:00.0/2023-01-05T13:00:00.0;604.2947;464.9132;407.3195;57.5938;948.5468;407.1804;291.6444;115.5360;684.0045;1.0000
2023-01-05T13:00:00.0/2023-01-05T14:00:00.0;666.5647;519.1387;456.7330;62.4057;964.6575;466.0141;349.0428;116.9713;736.8793;1.0000
2023-01-05T14:00:00.0/2023-01-05T15:00:00.0;660.3737;512.7263;448.2050;64.5212;955.4180;400.0631;209.4470;190.6160;449.5226;1.0000
2023-01-05T15:00:00.0/2023-01-05T16:00:00.0;586.1434;443.8219;378.6208;65.2010;908.2567;410.2076;314.5519;95.6557;746.9500;1.0000
2023-01-05T16:00:00.0/2023-01-05T17:00:00.0;448.9314;320.0005;257.6784;62.3221;803.7452;266.1291;141.0117;125.1174;433.1245;1.0000
2023-01-05T17:00:00.0/2023-01-05T18:00:00.0;258.0863;159.8030;111.6761;48.1269;586.9571;122.4158;74.3777;48.0381;345.4922;1.0000
2023-01-05T18:00:00.0/2023-01-05T19:00:00.0;45.7129;19.7603;8.8136;10.9467;120.2046;16.2711;6.7049;9.5661;98.1962;0.8417
2023-01-05T19:00:00.0/2023-01-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-05T20:00:00.0/2023-01-05T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-05T21:00:00.0/2023-01-05T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-05T22:00:00.0/2023-01-05T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-05T23:00:00.0/2023-01-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T00:00:00.0/2023-01-06T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T01:00:00.0/2023-01-06T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T02:00:00.0/2023-01-06T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T03:00:00.0/2023-01-06T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T04:00:00.0/2023-01-06T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T05:00:00.0/2023-01-06T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T06:00:00.0/2023-01-06T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T07:00:00.0/2023-01-06T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T08:00:00.0/2023-01-06T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-01-06T09:00:00.0/2023-01-06T10:00:00.0;76.1378;35.9072;18.3376;17.5696;198.0040;19.3818;0.0001;19.3817;0.0008;0.7083
2023-01-06T10:00:00.0/2023-01-06T11:00:00.0;296.3723;187.4979;134.9525;52.5454;626.8990;105.1703;0.9501;104.2202;3.6659;1.0000
2023-01-06T11:00:00.0/2023-01-06T12:00:00.0;478.9870;337.3578;269.3252;68.0326;788.7921;186.9989;10.2537;176.7452;30.0405;1.0000
2023-01-06T12:00:00.0/2023-01-06T13:00:00.0;606.0327;446.2475;370.7008;75.5467;860.5344;254.4753;33.1664;221.3090;76.2694;1.0000
2023-01-06T13:00:00.0/2023-01-06T14:00:00.0;668.8543;500.9122;422.6544;78.2578;889.5703;204.3555;6.6856;197.6699;14.0835;1.0000
2023-01-06T14:00:00.0/2023-01-06T15:00:00.0;663.1718;496.4438;418.9141;77.5298;889.2285;174.1923;3.4199;170.7724;7.4550;1.0000
2023-01-06T15:00:00.0/2023-01-06T16:00:00.0;589.3723;432.6595;356.9251;75.7344;851.6231;290.9799;50.3572;240.6227;122.2948;1.0000
2023-01-06T16:00:00.0/2023-01-06T17:00:00.0;452.4841;315.7751;244.9557;70.8194;758.1316;219.1086;34.7793;184.3293;109.3829;1.0000
2023-01-06T17:00:00.0/2023-01-06T18:00:00.0;261.8341;160.6921;106.3060;54.3861;550.1953;133.9935;44.0954;89.8981;260.9177;1.0000
